iteration,hv_mean,hv_std
0,279208.901661,9481.378058
1,281687.036377,9742.943942
2,283310.393838,10442.231961
3,285124.180336,10017.338971
4,287165.165761,10501.561527
5,288194.910887,10055.691010
6,288672.558046,9898.795627
7,289514.153472,9385.983736
8,289868.928848,9270.029109
9,290104.260260,9077.501187
10,290305.223477,8995.442934
11,290386.768492,8948.450042
12,290471.312344,8992.477043
13,290894.331538,8970.056319
14,291069.076439,8948.070651
15,292334.799200,9193.303846
16,292451.389016,9215.578622
17,292733.561817,9177.407970
18,293054.268929,9156.224247
19,293201.442588,9178.063873
20,293367.197113,9185.842854
21,293885.193867,8740.834120
22,294153.812429,8598.887969
23,294210.128103,8582.132887
24,294413.133605,8650.222312
25,294584.156527,8819.024647
26,294668.177070,8858.394906
27,294750.558275,8890.842392
28,294831.471980,8918.874039
29,294977.008236,9057.816972
30,295377.757148,8489.012637
31,295415.570590,8469.832176
32,295476.305512,8486.709627
33,295648.418446,8428.204089
34,295702.020593,8406.695531
35,295873.433102,8332.065043
36,295911.139978,8312.985315
37,296074.583465,8219.545229
38,296177.908920,8171.269995
39,296195.497294,8171.534004
40,296259.412805,8198.272158
41,296266.774294,8201.896427
42,296357.618571,8178.428968
43,296481.103812,8085.150473
44,296488.918438,8086.843779
45,296559.689136,8056.491795
46,296584.564801,8061.271083
47,296646.555928,8056.431247
48,297244.300076,7182.096697
49,297277.240324,7222.970354
50,297397.332303,7193.172164
51,297595.266587,7360.309288
52,297639.901650,7345.494163
53,297668.475119,7332.523277
54,297849.533037,7353.573242
55,297858.473697,7356.394141
56,297876.291429,7347.734744
57,297912.687124,7344.954813
58,298033.666149,7316.386849
59,298105.336060,7327.582968
60,298122.412098,7322.372785
61,298158.671064,7369.304874
62,298204.364803,7433.234521
63,298227.924621,7426.634073
64,298301.827005,7380.901834
65,298405.107385,7281.053015
66,298426.508519,7271.128759
67,298451.995418,7266.889827
68,298467.988497,7263.839280
69,298492.608301,7246.769633
70,298541.316341,7256.099224
71,298544.902116,7256.746753
72,298659.878559,7182.472754
73,298680.554302,7211.961210
74,298685.836549,7212.839736
75,298707.749993,7205.926218
76,298712.683640,7205.008161
77,298723.934834,7225.267657
78,298752.189926,7248.862797
79,298811.688415,7267.563712
80,298836.302157,7256.868196
81,298877.538718,7261.917746
82,298880.908550,7260.657214
83,298904.290018,7246.111865
84,298907.632221,7245.934205
85,298917.641720,7241.280868
86,298926.159777,7245.616994
87,298930.393555,7243.076055
88,298931.772126,7242.458761
89,298946.440605,7237.031717
90,298953.302114,7233.706959
91,298963.031495,7235.459785
92,298980.534177,7229.908645
93,298988.862975,7226.375590
94,299011.728201,7220.889044
95,299035.737789,7215.847811
96,299042.802954,7211.885252
97,299057.574312,7203.401838
98,299058.731157,7205.265307
99,299059.064899,7205.313016
100,299088.931744,7183.471699
101,299131.509969,7193.691776
102,299132.886489,7192.927800
103,299162.094579,7173.731876
104,299204.258918,7140.538345
105,299219.593984,7133.998386
106,299227.260701,7133.597400
107,299244.138755,7119.194245
108,299251.379836,7119.605123
109,299276.437748,7146.325228
110,299280.376239,7145.600123
111,299338.270044,7109.191276
112,299345.495335,7108.411840
113,299350.445711,7108.713849
114,299351.466275,7108.357302
115,299365.468286,7104.857327
116,299368.667188,7103.253244
117,299371.637994,7101.446620
118,299376.156691,7100.546109
119,299421.561173,7091.541568
120,299424.376223,7090.128504
121,299429.567773,7087.284470
122,299456.519271,7083.723467
123,299462.014053,7090.814118
124,299476.432091,7082.489512
125,299477.945067,7083.003607
126,299484.333372,7079.079155
127,299490.288865,7074.783887
128,299490.890234,7074.725019
129,299493.935093,7073.672288
130,299498.110774,7074.141891
131,299501.502436,7072.776168
132,299533.743766,7055.781604
133,299535.996402,7058.963819
134,299545.913223,7054.007970
135,299984.157285,7082.201232
136,299986.373678,7080.078475
137,299993.762783,7077.228916
138,299996.825375,7077.443903
139,300002.134231,7075.170994
140,300004.347988,7074.259933
141,300012.291163,7072.549522
142,300015.384567,7076.169029
143,300016.145780,7075.924995
144,300032.517551,7064.216999
145,300033.223696,7063.775351
146,300035.301840,7062.454471
147,300041.777593,7058.886681
148,300140.359810,7043.016663
149,300148.851029,7040.084862
150,300172.602652,7050.361562
151,300176.416376,7048.632739
152,300177.298426,7048.398402
153,300179.427382,7047.147143
154,300184.096331,7044.202375
155,300195.316951,7043.150349
156,300200.121166,7039.613418
157,300203.250174,7041.222776
158,300214.596363,7036.844346
159,300222.422460,7030.525082
160,300237.168993,7026.989736
161,300261.131925,7022.598205
162,300264.050159,7020.620134
163,300457.254767,7067.223612
164,300503.650685,7034.497022
165,300522.293847,7037.805296
166,300526.569213,7040.542755
167,300530.862279,7038.386405
168,300534.320893,7038.516131
169,300535.588775,7037.975736
170,300539.568591,7035.536449
171,300550.411622,7028.796176
172,300552.323014,7027.818232
