f1,f2,f3,type
8.788400,13.000000,680,pareto
8.788444,13.000000,600,pareto
8.788622,13.000000,280,pareto
8.788833,13.000000,0,pareto
8.794000,12.508197,680,pareto
8.794044,12.508197,600,pareto
8.794322,12.508197,100,pareto
8.794433,12.508197,0,pareto
8.794833,12.469165,580,pareto
8.794878,12.469165,500,pareto
8.796000,12.352069,280,pareto
8.796556,12.352069,0,pareto
8.798167,12.313037,180,pareto
8.800167,12.156909,0,pareto
8.801778,11.922717,0,pareto
8.803500,11.766589,0,pareto
8.805944,11.727557,0,pareto
8.806500,11.532397,0,pareto
8.807333,11.493365,0,pareto
8.808500,11.376269,0,pareto
8.809000,11.337237,0,pareto
8.809833,11.298205,0,pareto
8.810722,11.220141,0,pareto
8.812667,11.181109,0,pareto
8.813444,11.142077,0,pareto
8.814000,10.946916,0,pareto
8.816000,10.790788,0,pareto
8.818489,10.718189,0,pareto
8.818500,10.595628,0,pareto
8.819000,10.556596,0,pareto
8.820889,10.517564,0,pareto
8.821000,10.400468,0,pareto
8.823111,10.291179,0,pareto
8.824000,10.166276,0,pareto
8.826500,9.971116,0,pareto
8.828500,9.814988,0,pareto
8.829000,9.775956,0,pareto
8.831000,9.619828,0,pareto
8.833500,9.424668,0,pareto
8.834000,9.385636,0,pareto
8.834833,9.346604,0,pareto
8.837167,9.268540,0,pareto
8.837667,9.229508,0,pareto
8.838167,9.190476,0,pareto
8.840167,9.034348,0,pareto
8.841700,8.827451,0,pareto
8.842444,8.800156,0,pareto
8.843200,8.768931,0,pareto
8.843500,8.644028,0,pareto
8.845500,8.604996,0,pareto
8.846778,8.409836,0,pareto
8.848500,8.253708,0,pareto
8.849000,8.214676,0,pareto
8.850111,8.183450,0,pareto
8.852167,8.097580,0,pareto
8.852333,8.019516,0,pareto
8.854000,7.824356,0,pareto
8.856556,7.668228,0,pareto
8.859122,7.597970,0,pareto
8.860167,7.473068,0,pareto
8.861000,7.434036,0,pareto
8.862922,7.207650,0,pareto
8.864511,7.090554,0,pareto
8.865678,6.939891,0,pareto
8.870444,6.888000,0,pareto
8.871333,6.744731,0,pareto
8.879689,6.676815,0,pareto
8.883789,6.653396,0,pareto
8.884511,6.371338,0,pareto
8.884656,6.246186,0,pareto
8.886122,6.212618,0,pareto
8.886711,5.950820,0,pareto
8.888422,5.496487,0,pareto
8.893211,5.090847,0,pareto
8.895600,4.911788,0,pareto
8.902944,4.794692,0,pareto
8.903178,4.670144,0,pareto
8.907067,4.396920,0,pareto
8.931111,4.310851,0,pareto
8.933356,4.241218,0,pareto
8.935856,4.046058,0,pareto
8.937578,3.967994,0,pareto
8.937800,3.850898,0,pareto
8.940189,3.792350,0,pareto
8.940300,3.655738,0,pareto
8.942733,3.505386,0,pareto
8.943233,3.480386,0,pareto
8.943567,3.355386,0,pareto
8.944400,3.247268,0,pareto
8.944667,3.188720,0,pareto
8.945233,3.105386,0,pareto
8.945511,3.083333,0,pareto
8.946067,3.046838,0,pareto
8.946622,3.000000,0,pareto
8.962467,2.888889,0,pareto
8.976700,2.714286,0,pareto
8.989056,2.711973,0,pareto
8.989944,2.644173,0,pareto
8.993278,2.523005,0,pareto
8.996089,2.460291,0,pareto
8.996922,2.305085,0,pareto
8.997200,2.210291,0,pareto
8.997756,2.097625,0,pareto
8.999400,2.000000,0,pareto
8.789100,13.000000,1940,fifo
